"Huishoudens; samenstelling, grootte, regio, 1 januari"
""
"";"";"";"Onderwerp"
"";"";"";"Particuliere huishoudens: samenstelling|Totaal particuliere huishoudens";"Particuliere huishoudens: samenstelling|Eenpersoonshuishouden";"Particuliere huishoudens: samenstelling|Meerpersoonshuishouden|Totaal meerpersoonshuishoudens";"Particuliere huishoudens: samenstelling|Meerpersoonshuishouden|Niet-gehuwd paar|Totaal niet-gehuwde paren";"Particuliere huishoudens: samenstelling|Meerpersoonshuishouden|Gehuwd paar|Totaal gehuwde paren";"Particuliere huishoudens: samenstelling|Meerpersoonshuishouden|Eenouderhuishouden|Totaal eenouderhuishoudens";"Particuliere huishoudens: grootte|Meerpersoonshuishouden|2 personen";"Particuliere huishoudens: grootte|Meerpersoonshuishouden|3 personen";"Particuliere huishoudens: grootte|Meerpersoonshuishouden|4 personen";"Particuliere huishoudens: grootte|Meerpersoonshuishouden|5 of meer personen"
"Regio's";"Leeftijd referentiepersoon";"Perioden";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal";"aantal"
"Groot-Amsterdam (CR)";"90 tot 95 jaar";"2005";"2927";"2441";"486";"47";"316";"103";"468";"18";"0";"0"
"Groot-Amsterdam (CR)";"90 tot 95 jaar";"2010";"3264";"2737";"527";"43";"386";"88";"511";"15";"1";"0"
"Groot-Amsterdam (CR)";"90 tot 95 jaar";"2015";"4353";"3569";"784";"40";"594";"141";"751";"26";"5";"2"
"Groot-Amsterdam (CR)";"90 tot 95 jaar";"2020";"4538";"3673";"865";"48";"654";"150";"820";"39";"5";"1"
"Groot-Amsterdam (CR)";"95 jaar of ouder";"2000";"428";"367";"61";"13";"21";"22";"54";"5";"2";"0"
"Groot-Amsterdam (CR)";"95 jaar of ouder";"2005";"538";"468";"70";"9";"22";"37";"66";"4";"0";"0"
"Groot-Amsterdam (CR)";"95 jaar of ouder";"2010";"734";"649";"85";"5";"50";"24";"80";"5";"0";"0"
"Groot-Amsterdam (CR)";"95 jaar of ouder";"2015";"741";"652";"89";"4";"50";"34";"84";"5";"0";"0"
"Groot-Amsterdam (CR)";"95 jaar of ouder";"2020";"1119";"987";"132";"9";"72";"49";"125";"6";"1";"0"
"Amsterdam";"Totaal";"2000";"404579";"223325";"181254";"46056";"93774";"36173";"104134";"38269";"25567";"13284"
"Amsterdam";"Totaal";"2005";"407784";"225153";"182631";"46938";"91629";"38606";"101083";"39948";"27418";"14182"
"Amsterdam";"Totaal";"2010";"422073";"233891";"188182";"52948";"90125";"38731";"103147";"40923";"29174";"14938"
"Amsterdam";"Totaal";"2015";"449209";"247417";"201792";"63813";"92545";"39974";"111352";"42007";"31993";"16440"
"Amsterdam";"Totaal";"2020";"475368";"258962";"216406";"73988";"97165";"40383";"122266";"43536";"33081";"17523"
"Amsterdam";"15 tot 20 jaar";"2000";"4491";"3483";"1008";"468";"17";"155";"690";"226";"66";"26"
"Amsterdam";"15 tot 20 jaar";"2005";"5354";"4277";"1077";"538";"17";"151";"739";"245";"67";"26"
"Amsterdam";"15 tot 20 jaar";"2010";"5597";"4450";"1147";"530";"6";"134";"729";"313";"82";"23"
"Amsterdam";"15 tot 20 jaar";"2015";"4729";"4298";"431";"270";"2";"49";"366";"55";"6";"4"
"Amsterdam";"15 tot 20 jaar";"2020";"4608";"4221";"387";"273";"2";"32";"346";"33";"4";"4"
"Amsterdam";"20 tot 25 jaar";"2000";"25889";"19079";"6810";"3503";"838";"1132";"5084";"1273";"294";"159"
"Amsterdam";"20 tot 25 jaar";"2005";"25585";"19153";"6432";"3152";"754";"1147";"4609";"1345";"304";"174"
"Amsterdam";"20 tot 25 jaar";"2010";"32286";"24990";"7296";"4038";"460";"1029";"5409";"1451";"323";"113"
"Amsterdam";"20 tot 25 jaar";"2015";"36235";"30149";"6086";"3985";"282";"630";"5144";"723";"129";"90"
"Amsterdam";"20 tot 25 jaar";"2020";"33498";"28215";"5283";"4090";"196";"390";"4704";"435";"92";"52"
"Amsterdam";"25 tot 30 jaar";"2000";"51462";"32627";"18835";"10124";"4457";"2939";"13282";"3588";"1475";"490"
"Amsterdam";"25 tot 30 jaar";"2005";"41937";"27042";"14895";"7716";"3505";"2419";"10361";"2990";"1109";"435"
"Amsterdam";"25 tot 30 jaar";"2010";"45405";"29145";"16260";"9429";"2900";"2334";"11956";"2961";"981";"362"
"Amsterdam";"25 tot 30 jaar";"2015";"52064";"34280";"17784";"11570";"2514";"1996";"14072";"2498";"858";"356"
"Amsterdam";"25 tot 30 jaar";"2020";"61300";"40593";"20707";"15075";"2515";"1542";"17650";"2123";"653";"281"
"Amsterdam";"30 tot 35 jaar";"2000";"56117";"30807";"25310";"10112";"9522";"4935";"13690";"6338";"3727";"1555"
"Amsterdam";"30 tot 35 jaar";"2005";"51935";"28325";"23610";"10099";"8264";"4430";"12846";"6076";"3372";"1316"
"Amsterdam";"30 tot 35 jaar";"2010";"46222";"24532";"21690";"10084";"7209";"3544";"12196";"5407";"2983";"1104"
"Amsterdam";"30 tot 35 jaar";"2015";"50398";"25307";"25091";"12981";"7499";"3584";"14855";"6034";"3154";"1048"
"Amsterdam";"30 tot 35 jaar";"2020";"57035";"28258";"28777";"16386";"8354";"3006";"19386";"5812";"2560";"1019"
"Amsterdam";"35 tot 40 jaar";"2000";"50818";"24459";"26359";"7302";"11767";"6872";"10394";"6888";"5925";"3152"
"Amsterdam";"35 tot 40 jaar";"2005";"49314";"23776";"25538";"7861";"10864";"6323";"10117";"6916";"5657";"2848"
"Amsterdam";"35 tot 40 jaar";"2010";"45122";"21041";"24081";"8240";"9974";"5371";"9212";"6540";"5652";"2677"
"Amsterdam";"35 tot 40 jaar";"2015";"42446";"18701";"23745";"8962";"9592";"4722";"8943";"6301";"5992";"2509"
"Amsterdam";"35 tot 40 jaar";"2020";"45006";"19071";"25935";"10099";"10691";"4643";"10671";"6928";"5771";"2565"
